candidate_id,source_record_id,title,doi,source_pdf,profile_status,profile_kind,docling_json,markdown,figures_manifest,figure_count,picture_description_count,scientific_figure_count,non_scientific_image_count,chunks,chunks_status,picture_description_backend,picture_description_model,picture_description_area_threshold,picture_description_max_tokens,picture_description_scale
full_2026-07-06__rec_003323,rec_003323,Teampath: Building multimodal pathology experts with reasoning ai copilots,,data/full_text_downloads_2026-07-07/retry_batch_090_119/full_2026-07-06__rec_003323__Teampath_Building_multimodal_pathology_experts_with_reasoning_ai_copil/full_text_03_openalex_title_pdf_url.pdf,complete,native_docling_vlm_full_conversion,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_003323.docling.json,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_003323.md,data/docling_include_vlm_52_2026-07-10_nolimits/figures/full_2026_07_06_rec_003323/figures_manifest.json,16,16,15,1,,not_generated: no-limit VLM profile intentionally skips HybridChunker; derive a RAG chunk view separately when a retrieval token budget is explicitly chosen,openai-api,gpt-5.5,0,,2
full_2026-07-06__rec_003394,rec_003394,A foundation model for nucleotide sequences.,10.1093/nar/gkag083,data/full_text_downloads_2026-07-07/batch_150_199/full_2026-07-06__rec_003394__A_foundation_model_for_nucleotide_sequences./full_text_07_europepmc_Europe_PMC.pdf,complete,native_docling_vlm_full_conversion,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_003394.docling.json,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_003394.md,data/docling_include_vlm_52_2026-07-10_nolimits/figures/full_2026_07_06_rec_003394/figures_manifest.json,8,8,7,1,,not_generated: no-limit VLM profile intentionally skips HybridChunker; derive a RAG chunk view separately when a retrieval token budget is explicitly chosen,openai-api,gpt-5.5,0,,2
full_2026-07-06__rec_003434,rec_003434,The End of Aging Clocks: Training Foundation Models to Reason in Aging and Longevity,10.64898/2026.03.28.714980,data/full_text_downloads_2026-07-07/openalex_content_pass_26/full_2026-07-06__rec_003434__The_End_of_Aging_Clocks_Training_Foundation_Models_to_Reason_in_Aging_/full_text_05_openalex_content_pdf.pdf,complete,native_docling_vlm_full_conversion,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_003434.docling.json,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_003434.md,data/docling_include_vlm_52_2026-07-10_nolimits/figures/full_2026_07_06_rec_003434/figures_manifest.json,7,7,7,0,,not_generated: no-limit VLM profile intentionally skips HybridChunker; derive a RAG chunk view separately when a retrieval token budget is explicitly chosen,openai-api,gpt-5.5,0,,2
full_2026-07-06__rec_003517,rec_003517,X-Cell: Scaling Causal Perturbation Prediction Across Diverse Cellular Contexts via Diffusion Language Models,10.64898/2026.03.18.712807,data/full_text_downloads_2026-07-07/browser_manual_pass/full_2026-07-06__rec_003517__x_cell_scaling_causal_perturbation_prediction_across_diverse_cel/full_text_user_manual_biorxiv_2026.03.18.712807v1.full_1.pdf,complete,native_docling_vlm_full_conversion,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_003517.docling.json,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_003517.md,data/docling_include_vlm_52_2026-07-10_nolimits/figures/full_2026_07_06_rec_003517/figures_manifest.json,13,13,13,0,,not_generated: no-limit VLM profile intentionally skips HybridChunker; derive a RAG chunk view separately when a retrieval token budget is explicitly chosen,openai-api,gpt-5.5,0,,2
full_2026-07-06__rec_003629,rec_003629,Phenotype-Guided In Silico Molecular Generation Using Large Language Models,,data/full_text_include_missing_retry_2026-07-09/pass3_manual_url_hits/full_2026-07-06__rec_003629__Phenotype-Guided_In_Silico_Molecular_Generation_Using_Large_Language_M/full_text_pass3_01_web_biorxiv_pdf.pdf,complete,native_docling_vlm_full_conversion,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_003629.docling.json,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_003629.md,data/docling_include_vlm_52_2026-07-10_nolimits/figures/full_2026_07_06_rec_003629/figures_manifest.json,14,14,13,1,,not_generated: no-limit VLM profile intentionally skips HybridChunker; derive a RAG chunk view separately when a retrieval token budget is explicitly chosen,openai-api,gpt-5.5,0,,2
full_2026-07-06__rec_003852,rec_003852,A Generative Foundation Model for Multimodal Histopathology,,data/full_text_downloads_2026-07-07/retry2_batch_075_097/full_2026-07-06__rec_003852__A_Generative_Foundation_Model_for_Multimodal_Histopathology/full_text_02_semantic_scholar_title_arxiv_p.pdf,complete,native_docling_vlm_full_conversion,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_003852.docling.json,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_003852.md,data/docling_include_vlm_52_2026-07-10_nolimits/figures/full_2026_07_06_rec_003852/figures_manifest.json,9,9,9,0,,not_generated: no-limit VLM profile intentionally skips HybridChunker; derive a RAG chunk view separately when a retrieval token budget is explicitly chosen,openai-api,gpt-5.5,0,,2
july_update_2026-07-06__rec_000050,rec_000050,How Post-Training Shapes Biological Reasoning Models,,data/full_text_downloads_2026-07-07/retry3_batch_040_057/july_update_2026-07-06__rec_000050__How_Post-Training_Shapes_Biological_Reasoning_Models/full_text_01_semantic_scholar_title_arxiv_p.pdf,complete,native_docling_vlm_full_conversion,data/docling_include_vlm_52_2026-07-10_nolimits/documents/july_update_2026_07_06_rec_000050.docling.json,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/july_update_2026_07_06_rec_000050.md,data/docling_include_vlm_52_2026-07-10_nolimits/figures/july_update_2026_07_06_rec_000050/figures_manifest.json,10,10,10,0,,not_generated: no-limit VLM profile intentionally skips HybridChunker; derive a RAG chunk view separately when a retrieval token budget is explicitly chosen,openai-api,gpt-5.5,0,,2
july_update_2026-07-06__rec_000060,rec_000060,CellTosg2Sequence: A Unified Text-Omics-Signaling-Graph Large Language Model for Single-Cell Analysis,10.64898/2026.06.16.732397,data/full_text_downloads_2026-07-07/browser_manual_pass/july_update_2026-07-06__rec_000060__celltosg2sequence_a_unified_text_omics_signaling_graph_large_lan/full_text_browser_biorxiv_2026.06.16.732397v1.full.pdf,complete,native_docling_vlm_full_conversion,data/docling_include_vlm_52_2026-07-10_nolimits/documents/july_update_2026_07_06_rec_000060.docling.json,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/july_update_2026_07_06_rec_000060.md,data/docling_include_vlm_52_2026-07-10_nolimits/figures/july_update_2026_07_06_rec_000060/figures_manifest.json,9,9,9,0,,not_generated: no-limit VLM profile intentionally skips HybridChunker; derive a RAG chunk view separately when a retrieval token budget is explicitly chosen,openai-api,gpt-5.5,0,,2
june_update_2026-06-10__rec_000121,rec_000121,RVQ-Alpha: Bridging Single-Cell Transcriptomics and Large Language Models via Discrete Tokenization and Verifiable Reinforcement Learning,10.64898/2026.04.20.719773,data/screening_codex_2026-06-10/full_texts/rec_000121_RVQ-Alpha_Bridging_Single-Cell_Transcriptomics_and_Large_La/full_text_biorxiv.pdf,complete,native_docling_vlm_full_conversion,data/docling_include_vlm_52_2026-07-10_nolimits/documents/june_update_2026_06_10_rec_000121.docling.json,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/june_update_2026_06_10_rec_000121.md,data/docling_include_vlm_52_2026-07-10_nolimits/figures/june_update_2026_06_10_rec_000121/figures_manifest.json,22,22,22,0,,not_generated: no-limit VLM profile intentionally skips HybridChunker; derive a RAG chunk view separately when a retrieval token budget is explicitly chosen,openai-api,gpt-5.5,0,,2
june_update_2026-06-10__rec_000133,rec_000133,GenNA: Conditional generation of nucleotide sequences guided by natural-language annotations,10.64898/2026.04.22.720063,data/screening_codex_2026-06-10/full_texts/rec_000133_GenNA_Conditional_generation_of_nucleotide_sequences_guided/full_text_biorxiv.pdf,complete,native_docling_vlm_full_conversion,data/docling_include_vlm_52_2026-07-10_nolimits/documents/june_update_2026_06_10_rec_000133.docling.json,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/june_update_2026_06_10_rec_000133.md,data/docling_include_vlm_52_2026-07-10_nolimits/figures/june_update_2026_06_10_rec_000133/figures_manifest.json,8,8,8,0,,not_generated: no-limit VLM profile intentionally skips HybridChunker; derive a RAG chunk view separately when a retrieval token budget is explicitly chosen,openai-api,gpt-5.5,0,,2
