record_id,old_model_id,current_model_id,mapping_status,supporting_primary_routes,mean_route_score,old_split_degree,current_merge_degree,old_route_count,current_route_count,old_model_name,current_model_name,name_similarity
full_2026-07-06__rec_003043,model_bb8abf39cda0,,old_only_unmapped,0,,,,1,0,Mistral-7B (RAG),,
full_2026-07-06__rec_003043,model_c62fec9f6eca,,old_only_unmapped,0,,,,1,0,LLaMA2-7B (LoRA),,
full_2026-07-06__rec_003043,model_d4d27cc94560,model_364e087c07ba,route_supported_mapping,1,0.769373,1,1,1,1,Mistral-7B (LoRA),Mistral-7B,0.8
full_2026-07-06__rec_003043,model_e38398566857,model_6cd07bd7db7c,route_supported_mapping,1,0.764124,1,1,1,1,Gemma-7B (LoRA),Gemma-7B,0.761905
full_2026-07-06__rec_003043,model_e983118caaee,,old_only_unmapped,0,,,,1,0,Gemma-7B (RAG),,
full_2026-07-06__rec_003043,model_f35a32a6436b,model_f35a32a6436b,stable_id,0,,1,1,2,2,LLaVA-7B (LoRA),LLaVA-7B (LoRA),1.0
full_2026-07-06__rec_003043,model_f9c18c1bed7e,,old_only_unmapped,0,,,,1,0,LLaMA2-13B (RAG),,
full_2026-07-06__rec_003131,model_6b93a9600bf1,model_6b93a9600bf1,stable_id,9,0.894798,1,1,11,9,GP-GPT,GP-GPT,1.0
full_2026-07-06__rec_003188,,model_9b1025af9fe7,current_only_unmapped,0,,,,0,3,,LEONINE-GPT-2,
full_2026-07-06__rec_003188,model_0f8f776fb068,model_0f8f776fb068,stable_id,1,0.680421,1,1,3,3,LEONINE,LEONINE,1.0
full_2026-07-06__rec_003206,model_6694aa9f2590,model_6694aa9f2590,stable_id,3,0.735046,1,1,4,6,GPT-2 Small,GPT-2 Small,1.0
full_2026-07-06__rec_003206,model_72e70c356b7a,model_72e70c356b7a,stable_id,3,0.735046,1,1,4,6,GPT-2 Medium,GPT-2 Medium,1.0
full_2026-07-06__rec_003214,model_77f5da416a80,model_77f5da416a80,stable_id,3,0.699163,1,1,3,7,BioMedGPT-10B,BioMedGPT-10B,1.0
full_2026-07-06__rec_003214,model_fba98a35871c,model_fba98a35871c,stable_id,1,0.862228,1,1,1,1,BioMedGPT-LM-7B,BioMedGPT-LM-7B,1.0
full_2026-07-06__rec_003323,model_34d4c70c7e7e,,old_only_unmapped,0,,,,1,0,R(),,
full_2026-07-06__rec_003323,model_382b827ca741,model_382b827ca741,stable_id,1,0.72022,1,1,4,1,o4-mini,o4-mini,1.0
full_2026-07-06__rec_003323,model_7f7febec35b3,model_6a1d79c2e81c,route_supported_mapping,6,0.715489,1,1,16,9,TeamPath,TeamPath-7B,0.842105
full_2026-07-06__rec_003394,model_958497e0e4e2,model_958497e0e4e2,stable_id,3,0.82518,1,1,7,5,OmniNA,OmniNA,1.0
full_2026-07-06__rec_003394,model_eb69df38d690,model_eb69df38d690,stable_id,1,0.93492,1,1,1,16,OmniNA-1.7B,OmniNA-1.7B,1.0
full_2026-07-06__rec_003434,model_1de57c07de4d,,old_only_unmapped,0,,,,1,0,Qwen3-14B RFT,,
full_2026-07-06__rec_003434,model_4ae9868de1c9,model_4ae9868de1c9,stable_id,8,0.756666,1,1,17,9,Longevity-LLM v0.1,Longevity-LLM v0.1,1.0
full_2026-07-06__rec_003517,model_3c62ea9d84a1,model_3c62ea9d84a1,stable_id,0,,1,1,3,9,X-Cell-Ultra,X-Cell-Ultra,1.0
full_2026-07-06__rec_003517,model_4361ad5c9fbb,model_4361ad5c9fbb,stable_id,5,0.820197,1,1,11,20,X-Cell,X-Cell,1.0
full_2026-07-06__rec_003629,,model_14bc733e1633,current_only_unmapped,0,,,,0,1,,compound-phenotype scoring model,
full_2026-07-06__rec_003629,model_a2ae3a8f5414,model_a2ae3a8f5414,stable_id,2,0.799259,1,1,5,9,GEMGen,GEMGen,1.0
full_2026-07-06__rec_003852,model_59fd1ac5f56e,model_59fd1ac5f56e,stable_id,10,0.785388,1,1,12,11,MUPAD,MUPAD,1.0
