record_id,candidate_id,title,doi,final_code,uncertainty_reason,final_docling_status,selected_attempt_status,source_kind,source_file,docling_json,markdown,chunks,chunk_count,figure_count,figures_manifest,manifest,output_root,attempt_count,notes
rec_003259,full_2026-07-06__rec_003259,Large language models for biological sequence analysis in infectious disease research,,none,paper_type_unclear,docling_ok,ok,pdf,data/full_text_downloads_2026-07-07/retry_batch_090_119/full_2026-07-06__rec_003259__Large_language_models_for_biological_sequence_analysis_in_infectious_d/full_text_10_europepmc_title_Europe_PMC.pdf,data/docling_uncertain_no_vlm_2026-07-08/documents/full_2026_07_06_rec_003259.docling.json,data/docling_uncertain_no_vlm_2026-07-08/markdown/full_2026_07_06_rec_003259.md,data/docling_uncertain_no_vlm_2026-07-08/chunks/full_2026_07_06_rec_003259.jsonl,111,5,data/docling_uncertain_no_vlm_2026-07-08/figures/full_2026_07_06_rec_003259/figures_manifest.json,data/docling_uncertain_no_vlm_2026-07-08/manifests/docling_smoke_manifest.json,data/docling_uncertain_no_vlm_2026-07-08,1,
rec_003265,full_2026-07-06__rec_003265,Ai for biomedicine in the era of large language models,,none,mixed_signals,docling_ok,ok,pdf,data/full_text_downloads_2026-07-07/retry_batch_090_119/full_2026-07-06__rec_003265__Ai_for_biomedicine_in_the_era_of_large_language_models/full_text_01_openalex_title_pdf_url.pdf,data/docling_uncertain_no_vlm_2026-07-08/documents/full_2026_07_06_rec_003265.docling.json,data/docling_uncertain_no_vlm_2026-07-08/markdown/full_2026_07_06_rec_003265.md,data/docling_uncertain_no_vlm_2026-07-08/chunks/full_2026_07_06_rec_003265.jsonl,98,3,data/docling_uncertain_no_vlm_2026-07-08/figures/full_2026_07_06_rec_003265/figures_manifest.json,data/docling_uncertain_no_vlm_2026-07-08/manifests/docling_smoke_manifest.json,data/docling_uncertain_no_vlm_2026-07-08,1,
rec_003272,full_2026-07-06__rec_003272,Foundations for Genome-Scale Artificial Intelligence,,none,paper_type_unclear,docling_ok,ok,pdf,data/full_text_downloads_2026-07-07/retry_batch_090_119/full_2026-07-06__rec_003272__Foundations_for_Genome-Scale_Artificial_Intelligence/full_text_06_landing_pdf_link.pdf,data/docling_uncertain_no_vlm_2026-07-08/documents/full_2026_07_06_rec_003272.docling.json,data/docling_uncertain_no_vlm_2026-07-08/markdown/full_2026_07_06_rec_003272.md,data/docling_uncertain_no_vlm_2026-07-08/chunks/full_2026_07_06_rec_003272.jsonl,72,0,data/docling_uncertain_no_vlm_2026-07-08/figures/full_2026_07_06_rec_003272/figures_manifest.json,data/docling_uncertain_no_vlm_2026-07-08/manifests/docling_smoke_manifest.json,data/docling_uncertain_no_vlm_2026-07-08,1,
rec_003315,full_2026-07-06__rec_003315,Aligning foundation models on encoded synthetic omic data for patient stratification,,none,mixed_signals,docling_ok,ok,pdf,data/full_text_problem_retry_2026-07-08/manual_downloads/rec_003315_aligning_foundation_models_on_encoded_synthetic_omic_data.pdf,data/docling_uncertain_manual_downloads2_no_vlm_2026-07-08/documents/rec_003315_aligning_foundation_models_on_encoded_synthetic_omic_data.docling.json,data/docling_uncertain_manual_downloads2_no_vlm_2026-07-08/markdown/rec_003315_aligning_foundation_models_on_encoded_synthetic_omic_data.md,data/docling_uncertain_manual_downloads2_no_vlm_2026-07-08/chunks/rec_003315_aligning_foundation_models_on_encoded_synthetic_omic_data.jsonl,40,2,data/docling_uncertain_manual_downloads2_no_vlm_2026-07-08/figures/rec_003315_aligning_foundation_models_on_encoded_synthetic_omic_data/figures_manifest.json,data/docling_uncertain_manual_downloads2_no_vlm_2026-07-08/manifests/docling_smoke_manifest.json,data/docling_uncertain_manual_downloads2_no_vlm_2026-07-08,1,
rec_003323,full_2026-07-06__rec_003323,Teampath: Building multimodal pathology experts with reasoning ai copilots,,none,foundation_model_evidence_unclear,docling_ok,ok,pdf,data/full_text_downloads_2026-07-07/retry_batch_090_119/full_2026-07-06__rec_003323__Teampath_Building_multimodal_pathology_experts_with_reasoning_ai_copil/full_text_03_openalex_title_pdf_url.pdf,data/docling_uncertain_no_vlm_2026-07-08/documents/full_2026_07_06_rec_003323.docling.json,data/docling_uncertain_no_vlm_2026-07-08/markdown/full_2026_07_06_rec_003323.md,data/docling_uncertain_no_vlm_2026-07-08/chunks/full_2026_07_06_rec_003323.jsonl,117,16,data/docling_uncertain_no_vlm_2026-07-08/figures/full_2026_07_06_rec_003323/figures_manifest.json,data/docling_uncertain_no_vlm_2026-07-08/manifests/docling_smoke_manifest.json,data/docling_uncertain_no_vlm_2026-07-08,1,
rec_003328,full_2026-07-06__rec_003328,MAMMAL--Molecular Aligned Multi-Modal Architecture and Language,,none,generative_status_unclear,docling_ok,ok,pdf,data/full_text_downloads_2026-07-07/retry_batch_090_119/full_2026-07-06__rec_003328__MAMMAL--Molecular_Aligned_Multi-Modal_Architecture_and_Language/full_text_01_openalex_title_pdf_url.pdf,data/docling_uncertain_no_vlm_2026-07-08/documents/full_2026_07_06_rec_003328.docling.json,data/docling_uncertain_no_vlm_2026-07-08/markdown/full_2026_07_06_rec_003328.md,data/docling_uncertain_no_vlm_2026-07-08/chunks/full_2026_07_06_rec_003328.jsonl,169,6,data/docling_uncertain_no_vlm_2026-07-08/figures/full_2026_07_06_rec_003328/figures_manifest.json,data/docling_uncertain_no_vlm_2026-07-08/manifests/docling_smoke_manifest.json,data/docling_uncertain_no_vlm_2026-07-08,1,
rec_003344,full_2026-07-06__rec_003344,Single-cell exploration in natural language,,none,generative_status_unclear,docling_ok,ok,html,data/full_text_missing_uncertain_retry_2026-07-08/standard_retry/run__rec_003344__Single-cell_exploration_in_natural_language/full_text_01_crossref_title_link.html,data/docling_uncertain_html_no_vlm_2026-07-08/documents/html_rec_003344.docling.json,data/docling_uncertain_html_no_vlm_2026-07-08/markdown/html_rec_003344.md,data/docling_uncertain_html_no_vlm_2026-07-08/chunks/html_rec_003344.jsonl,26,,,data/docling_uncertain_html_no_vlm_2026-07-08/manifests/docling_html_manifest.json,data/docling_uncertain_html_no_vlm_2026-07-08,1,
rec_003349,full_2026-07-06__rec_003349,Actionable Gene Expression Cell Profiling with Foundation Models,,none,paper_type_unclear,docling_ok,ok,pdf,data/full_text_problem_retry_2026-07-08/web_found_pdfs/rec_003349/rec_003349_repozitorij.pdf,data/docling_uncertain_problem_retry_no_vlm_2026-07-08/documents/rec_003349_repozitorij.docling.json,data/docling_uncertain_problem_retry_no_vlm_2026-07-08/markdown/rec_003349_repozitorij.md,data/docling_uncertain_problem_retry_no_vlm_2026-07-08/chunks/rec_003349_repozitorij.jsonl,148,11,data/docling_uncertain_problem_retry_no_vlm_2026-07-08/figures/rec_003349_repozitorij/figures_manifest.json,data/docling_uncertain_problem_retry_no_vlm_2026-07-08/manifests/docling_smoke_manifest.json,data/docling_uncertain_problem_retry_no_vlm_2026-07-08,1,
rec_003361,full_2026-07-06__rec_003361,LangCell: Language-Cell 737 Pre-training for Cell Identity Understanding,,none,generative_status_unclear,docling_ok,ok,pdf,data/full_text_downloads_2026-07-07/retry2_batch_050_074/full_2026-07-06__rec_003361__LangCell_Language-Cell_737_Pre-training_for_Cell_Identity_Understandin/full_text_02_semantic_scholar_title_arxiv_p.pdf,data/docling_uncertain_no_vlm_2026-07-08/documents/full_2026_07_06_rec_003361.docling.json,data/docling_uncertain_no_vlm_2026-07-08/markdown/full_2026_07_06_rec_003361.md,data/docling_uncertain_no_vlm_2026-07-08/chunks/full_2026_07_06_rec_003361.jsonl,174,16,data/docling_uncertain_no_vlm_2026-07-08/figures/full_2026_07_06_rec_003361/figures_manifest.json,data/docling_uncertain_no_vlm_2026-07-08/manifests/docling_smoke_manifest.json,data/docling_uncertain_no_vlm_2026-07-08,1,
rec_003434,full_2026-07-06__rec_003434,The End of Aging Clocks: Training Foundation Models to Reason in Aging and Longevity,10.64898/2026.03.28.714980,none,text_bio_bridge_unclear,docling_ok,ok,pdf,data/full_text_downloads_2026-07-07/openalex_content_pass_26/full_2026-07-06__rec_003434__The_End_of_Aging_Clocks_Training_Foundation_Models_to_Reason_in_Aging_/full_text_05_openalex_content_pdf.pdf,data/docling_uncertain_no_vlm_2026-07-08/documents/full_2026_07_06_rec_003434.docling.json,data/docling_uncertain_no_vlm_2026-07-08/markdown/full_2026_07_06_rec_003434.md,data/docling_uncertain_no_vlm_2026-07-08/chunks/full_2026_07_06_rec_003434.jsonl,54,7,data/docling_uncertain_no_vlm_2026-07-08/figures/full_2026_07_06_rec_003434/figures_manifest.json,data/docling_uncertain_no_vlm_2026-07-08/manifests/docling_smoke_manifest.json,data/docling_uncertain_no_vlm_2026-07-08,1,
